                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.64397,                0.42419,                0.96446,                0.79378,                 0.5808,                0.66227,                0.46074,                 1.1174,                0.78268,                 1.4088,               0.003532,               0.003532,               0.003532
                     51,                0.63555,                0.41685,                0.96233,                 0.5988,                0.63557,                0.65391,                0.46566,                 1.1174,                0.77706,                 1.4199,                 0.0034,                 0.0034,                 0.0034
                     52,                0.62935,                  0.413,                0.95925,                0.78733,                0.61963,                0.65162,                0.45679,                 1.1077,                0.77023,                 1.4036,               0.003268,               0.003268,               0.003268
                     53,                  0.623,                0.40779,                0.95382,                0.63113,                0.78105,                0.69881,                0.49528,                 1.1076,                0.78794,                 1.4096,               0.003136,               0.003136,               0.003136
                     54,                0.61669,                0.40504,                0.95426,                 0.7925,                0.60877,                0.66925,                0.46859,                 1.1043,                 0.7874,                 1.4146,               0.003004,               0.003004,               0.003004
                     55,                0.60522,                0.39984,                0.94912,                 0.6943,                0.75112,                0.76607,                0.54073,                 1.1044,                0.78014,                 1.4229,               0.002872,               0.002872,               0.002872
                     56,                0.60098,                0.39557,                0.94596,                0.81497,                0.58249,                0.67449,                0.47637,                 1.1081,                0.78476,                 1.4216,                0.00274,                0.00274,                0.00274
                     57,                0.59348,                0.39237,                0.94555,                0.77791,                0.59849,                0.65064,                0.46469,                 1.1049,                0.80087,                 1.4211,               0.002608,               0.002608,               0.002608
                     58,                0.58941,                0.38915,                0.94192,                0.76241,                0.60907,                0.64665,                0.45701,                 1.1029,                0.79166,                 1.4241,               0.002476,               0.002476,               0.002476
                     59,                0.57613,                 0.3807,                0.93711,                0.61219,                0.77713,                0.76356,                0.52716,                 1.1036,                0.79051,                 1.4272,               0.002344,               0.002344,               0.002344
                     60,                0.57217,                0.38122,                0.93599,                0.64887,                0.77557,                0.76588,                0.52817,                 1.1047,                0.79603,                 1.4293,               0.002212,               0.002212,               0.002212
                     61,                0.56738,                0.37283,                 0.9334,                0.63567,                0.76933,                0.76724,                0.52815,                 1.1049,                0.79787,                 1.4275,                0.00208,                0.00208,                0.00208
                     62,                0.56031,                0.37003,                0.93207,                  0.715,                0.74808,                0.76591,                0.52911,                 1.1046,                0.80019,                 1.4304,               0.001948,               0.001948,               0.001948
                     63,                0.55059,                0.37903,                0.92789,                 0.7869,                 0.7376,                0.77015,                0.53269,                 1.1087,                0.80125,                 1.4375,               0.001816,               0.001816,               0.001816
                     64,                0.54712,                0.36711,                0.92594,                0.78839,                0.73342,                0.76845,                0.51418,                 1.1081,                0.80252,                 1.4431,               0.001684,               0.001684,               0.001684
                     65,                0.53333,                0.35568,                0.92252,                0.79825,                0.73107,                 0.7695,                0.51599,                 1.1047,                0.79801,                 1.4423,               0.001552,               0.001552,               0.001552
                     66,                 0.4975,                0.31258,                0.88798,                0.82616,                 0.7122,                0.77032,                0.51822,                 1.1056,                 0.7986,                 1.4483,                0.00142,                0.00142,                0.00142
                     67,                0.47924,                0.30057,                0.88032,                0.80818,                0.72119,                0.76831,                0.50342,                 1.1081,                0.80485,                 1.4602,               0.001288,               0.001288,               0.001288
                     68,                0.46843,                0.29544,                0.87533,                0.78193,                0.72649,                0.76948,                0.50193,                 1.1086,                0.81058,                 1.4651,               0.001156,               0.001156,               0.001156
                     69,                0.45488,                0.28803,                0.86855,                0.79202,                0.71498,                0.76825,                0.50181,                 1.1089,                0.81545,                 1.4675,               0.001024,               0.001024,               0.001024
                     70,                0.44579,                0.28257,                0.86514,                0.79906,                 0.7134,                0.76857,                0.51389,                  1.112,                0.82127,                  1.471,               0.000892,               0.000892,               0.000892
                     71,                0.43987,                0.28602,                0.86501,                 0.7981,                0.71588,                0.76734,                0.51642,                  1.113,                0.82033,                 1.4771,                0.00076,                0.00076,                0.00076
                     72,                0.42819,                0.27452,                0.86115,                0.80592,                0.71276,                0.76691,                  0.515,                  1.112,                0.82138,                   1.48,               0.000628,               0.000628,               0.000628
                     73,                 0.4213,                0.26929,                0.85819,                0.82142,                0.70496,                0.76696,                0.51659,                   1.11,                0.82323,                 1.4803,               0.000496,               0.000496,               0.000496
                     74,                0.41481,                0.27089,                0.85659,                0.82753,                0.69871,                0.76738,                0.51509,                 1.1089,                0.82453,                 1.4816,               0.000364,               0.000364,               0.000364
                     75,                0.40874,                0.26358,                0.85565,                0.83424,                0.69945,                0.76885,                0.51616,                 1.1076,                0.82761,                 1.4818,               0.000232,               0.000232,               0.000232
